epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.498,1.85527,2.86681,1.28768,0.02125,0.41643,0.19173,0.09158,1.8783,2.80737,1.15793,0.000653333,0.000653333,0.000653333
2,66.8352,2.01278,2.37399,1.35222,0.44024,0.17579,0.19733,0.09859,1.83892,2.39235,1.31362,0.00127644,0.00127644,0.00127644
3,103.684,1.95747,2.29027,1.39245,0.28177,0.22767,0.16574,0.08388,2.00936,2.47331,1.5395,0.00185555,0.00185555,0.00185555
4,137.667,1.91147,2.20311,1.39493,0.33892,0.31268,0.23072,0.10373,1.99008,2.19622,1.50175,0.001802,0.001802,0.001802
5,170.921,1.99351,2.19383,1.40792,0.34491,0.35014,0.26341,0.11887,1.95521,2.57375,1.4327,0.001736,0.001736,0.001736
6,203.524,2.06342,2.31087,1.42586,0.31491,0.32133,0.20263,0.09005,1.90069,2.08877,1.40222,0.00167,0.00167,0.00167
7,235.887,2.09099,2.26078,1.43174,0.33571,0.20749,0.17038,0.08419,1.97345,2.76124,1.40823,0.001604,0.001604,0.001604
8,265.565,2.09905,2.22595,1.45803,0.41844,0.32853,0.29838,0.13775,1.90927,2.01966,1.40121,0.001538,0.001538,0.001538
9,295.375,1.95214,2.08179,1.37649,0.41793,0.31844,0.29436,0.1515,1.81369,2.22645,1.34127,0.001472,0.001472,0.001472
10,329.413,1.92526,2.01229,1.34123,0.52169,0.27089,0.30474,0.16635,1.78614,1.95875,1.30929,0.001406,0.001406,0.001406
11,358.067,1.91459,1.92428,1.32583,0.4678,0.31284,0.34204,0.18685,1.71501,1.79768,1.24679,0.00134,0.00134,0.00134
12,395.547,1.868,1.92603,1.33983,0.53516,0.36023,0.37953,0.20251,1.69613,1.65955,1.25281,0.001274,0.001274,0.001274
13,439.234,1.96297,1.98336,1.33942,0.52943,0.3826,0.38509,0.20515,1.69932,1.67483,1.23427,0.001208,0.001208,0.001208
14,476.953,1.88612,1.86323,1.27867,0.53984,0.38617,0.40265,0.20944,1.68652,1.63668,1.23606,0.001142,0.001142,0.001142
15,509.228,1.78051,1.77858,1.26964,0.49123,0.42075,0.41468,0.23476,1.5999,1.56803,1.19829,0.001076,0.001076,0.001076
16,544.62,1.8097,1.78147,1.26585,0.57339,0.42507,0.45283,0.25647,1.56112,1.46343,1.17468,0.00101,0.00101,0.00101
17,571.309,1.7188,1.71726,1.25303,0.54881,0.43643,0.46519,0.26049,1.5708,1.45257,1.17814,0.000944,0.000944,0.000944
18,601.64,1.74505,1.64909,1.28245,0.56581,0.44236,0.47756,0.26925,1.55483,1.4342,1.1682,0.000878,0.000878,0.000878
19,630.55,1.66011,1.55783,1.21864,0.61163,0.45613,0.50866,0.28562,1.50571,1.41286,1.14163,0.000812,0.000812,0.000812
20,666.614,1.66592,1.60562,1.21862,0.62398,0.45245,0.5079,0.29003,1.49049,1.37514,1.1304,0.000746,0.000746,0.000746
21,707.622,1.78842,1.83875,1.23162,0.58323,0.41538,0.45733,0.26642,1.50253,1.43642,1.12438,0.00068,0.00068,0.00068
22,736.374,1.70521,1.7385,1.18527,0.54839,0.43228,0.44929,0.24811,1.51952,1.49815,1.12235,0.000614,0.000614,0.000614
23,763.853,1.59924,1.56127,1.18513,0.61967,0.44092,0.47997,0.28314,1.44791,1.44764,1.10624,0.000548,0.000548,0.000548
24,790.1,1.57684,1.50715,1.16778,0.60621,0.45965,0.50071,0.29795,1.43837,1.36277,1.09887,0.000482,0.000482,0.000482
25,827.757,1.66328,1.58107,1.17604,0.60993,0.50244,0.53153,0.31681,1.43766,1.26305,1.08754,0.000416,0.000416,0.000416
26,867.527,1.59505,1.53244,1.17623,0.61644,0.48703,0.51696,0.30686,1.40039,1.28614,1.06493,0.00035,0.00035,0.00035
27,899.233,1.6032,1.54451,1.13855,0.60765,0.49319,0.52416,0.31005,1.39666,1.26799,1.05545,0.000284,0.000284,0.000284
28,930.25,1.49841,1.4171,1.1212,0.6142,0.4928,0.54312,0.32483,1.37388,1.23419,1.05089,0.000218,0.000218,0.000218
29,962.017,1.50645,1.41651,1.13284,0.65197,0.51009,0.5661,0.34509,1.34066,1.19021,1.04205,0.000152,0.000152,0.000152
30,992.551,1.53007,1.43902,1.13699,0.65457,0.5106,0.56852,0.35054,1.3288,1.17842,1.04041,8.6e-05,8.6e-05,8.6e-05
